"Random Groundstroke: 20 balls"
""
914Random_ground_intro.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,RAND_GROUND,R4,4.0,GROUND,SAME,,,,
,RAND_GROUND,INV,4.0,GROUND,EASY,,,,
,RAND_GROUND,R4,4.0,GROUND,HARD,,,,
,RAND_GROUND,INV,4.0,GROUND,EASY,,,,
,RAND_GROUND,R4,4.0,GROUND,HARD,,,,
,RAND_GROUND,INV,4.0,GROUND,SAME,,,,
,RAND_GROUND,R4,4.0,GROUND,SAME,,,,
,RAND_GROUND,INV,4.0,GROUND,EASY,,,,
,RAND_GROUND,R4,4.0,GROUND,HARD,,,,
,RAND_GROUND,INV,4.0,GROUND,EASY,,,,
,RAND_GROUND,R4,4.0,GROUND,SAME,,,,
,RAND_GROUND,INV,4.0,GROUND,EASY,,,,
,RAND_GROUND,R4,4.0,GROUND,HARD,,,,
,RAND_GROUND,INV,4.0,GROUND,HARD,,,,
,RAND_GROUND,R4,4.0,GROUND,EASY,,,,
,RAND_GROUND,INV,4.0,GROUND,EASY,,,,
,RAND_GROUND,R4,4.0,GROUND,SAME,,,,
,RAND_GROUND,INV,4.0,GROUND,HARD,,,,
,RAND_GROUND,R4,4.0,GROUND,EASY,,,,
,RAND_GROUND,INV,4.0,GROUND,HARD,,,,
