"Groundstroke: Groover"
"Boomer throws a pattern of 2 FH and 2 BH. The target for the first ball is cross court deep, the target for the second ball is down the line deep."
892Ground_groover_intro.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.4,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.8,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.4,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.8,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.4,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.8,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.4,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.8,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.4,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.8,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.4,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.8,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.4,AD_DEEP,SAME,,,,
,TOPSPIN,B5,3.8,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.4,DEUCE_DEEP,SAME,,,,
,TOPSPIN,F5,3.8,AD_DEEP,SAME,,,,
