"Hopman Groundstroke Hard:"
"30 balls varying in spin, direction and depth. Go for the lines.  Balls get tougher as drill progresses. "
917Hopman_ground_intro.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,R4,3.5,GROUND,EASY,,,,
,TOPSPIN,INV,3.5,GROUND,EASY,,,,
,CHIP,R4,3.5,GROUND,EASY,,,,
,PASS,INV,3.5,GROUND,EASY,,,,
,PASS,R4,3.4,GROUND,EASY,,,,
,FLAT,INV,3.4,GROUND,EASY,,,,
,TOPSPIN,R4,3.4,GROUND,EASY,,,,
,TOPSPIN,INV,3.4,GROUND,EASY,,,,
,CHIP,R4,3.4,GROUND,EASY,,,,
,TOPSPIN,INV,3.4,GROUND,EASY,,,,
,TOPSPIN,R4,3.4,GROUND,SAME,,,,
,LOOP,INV,3.4,GROUND,SAME,,,,
,TOPSPIN,R4,3.4,GROUND,SAME,,,,
,TOPSPIN,INV,3.4,GROUND,SAME,,,,
,CHIP,R4,3.4,GROUND,SAME,,,,
,TOPSPIN,INV,3.4,GROUND,SAME,,,,
,TOPSPIN,R4,3.4,GROUND,SAME,,,,
,CHIP,INV,3.4,GROUND,SAME,,,,
,TOPSPIN,B4,3.4,GROUND,SAME,,,,
,TOPSPIN,RANDBH,3.4,GROUND,SAME,,,,
,TOPSPIN,F2,3.4,GROUND,HARD,,,,
,LOOP,RANDFH,3.3,GROUND,HARD,,,,
,TOPSPIN,R6,3.3,GROUND,HARD,,,,
,TOPSPIN,CENTER,3.3,GROUND,HARD,,,,
,LOOP,R6,3.3,GROUND,HARD,,,,
,TOPSPIN,CENTER,3.3,GROUND,HARD,,,,
,TOPSPIN,R6,3.3,GROUND,HARD,,,,
,LOOP,INV,3.3,GROUND,HARD,,,,
,TOPSPIN,B4,3.3,GROUND,HARD,,,,
,CHIP,F4,3.3,GROUND,HARD,,,,
