"College Combine Groundstroke Hard:"
""
918College_combine_ground.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F4,2.8,GROUND,3.0,,,,
,TOPSPIN,B4,2.8,GROUND,3.0,,,,
,TOPSPIN,F4,2.8,GROUND,3.0,,,,
,TOPSPIN,B4,2.8,GROUND,3.0,,,,
,LOOP,B4,2.7,GROUND,3.5,,,,
,CHIP,F4,2.7,GROUND,3.5,,,,
,CHIP,B4,2.7,GROUND,3.5,,,,
,CHIP,F4,2.7,GROUND,3.5,,,,
,LOOP,F4,2.6,GROUND,4.0,,,,
,LOOP,B4,2.6,GROUND,4.0,,,,
,LOOP,F4,2.6,GROUND,4.0,,,,
,LOOP,B4,2.6,GROUND,4.0,,,,
,LOOP,B4,2.6,GROUND,4.5,,,,
,FLAT,F4,2.6,GROUND,4.5,,,,
,FLAT,B4,2.6,GROUND,4.5,,,,
,FLAT,F4,2.6,GROUND,4.5,,,,
,LOOP,F4,3.0,GROUND,5.0,,,,
,TOPSPIN,B6,3.0,GROUND,5.0,,,,
,TOPSPIN,F6,3.0,GROUND,5.0,,,,
,TOPSPIN,B6,3.0,GROUND,5.0,,,,
,LOOP,B6,3.0,GROUND,5.5,,,,
,LOOP,F6,3.0,GROUND,5.5,,,,
,LOOP,B6,3.0,GROUND,5.5,,,,
,LOOP,F6,3.0,GROUND,5.5,,,,
,LOOP,F6,3.0,GROUND,6.0,,,,
,TOPSPIN,B6,3.0,GROUND,6.0,,,,
,TOPSPIN,F6,3.0,GROUND,6.0,,,,
,TOPSPIN,B6,3.0,GROUND,6.0,,,,
,LOOP,F6,3.0,GROUND,6.5,,,,
,TOPSPIN,B6,4.0,GROUND,6.5,,,,
