"Random Topspin Ground:"
""
919Random_topspin_intro.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
,TOPSPIN,RAND,4.0,GROUND,SAME,,,,
