"Random Loop Groundstroke"
"30 random Heavy Topspins at Boomer's level."
920Random_loop_intro.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
