"Random Chip Ground:"
""
921Random_chip_intro.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
,CHIP,RAND,4.0,GROUND,SAME,,,,
