"Net: Groover"
"To improve net play.  Boomer throws a passing shot to the FH, then to the BH, then an overhead. This pattern repeats for 15 balls. Boomer gives a target, 'line' or 'cross'."
730WAV1.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F2,2.4,VOLLEY,SAME,,,,
,PASS,B2,2.4,VOLLEY,SAME,,,,
,LOB,F1,3.0,OVERHEAD,SAME,077ATTA.WAV,,,
,PASS,F2,2.4,VOLLEY,SAME,,,,
,PASS,B2,2.4,VOLLEY,SAME,,,,
,LOB,B1,3.0,OVERHEAD,SAME,158CRUS.WAV,,,
,PASS,F2,2.4,VOLLEY,SAME,,,,
,PASS,B2,2.4,VOLLEY,SAME,,,,
,LOB,F1,3.0,OVERHEAD,SAME,158CRUS.WAV,,,
,PASS,F2,2.4,VOLLEY,SAME,,,,
,PASS,B2,2.4,VOLLEY,SAME,,,,
,LOB,B1,3.0,OVERHEAD,SAME,077ATTA.WAV,,,
,PASS,F2,2.4,VOLLEY,SAME,,,,
,PASS,B2,2.4,VOLLEY,SAME,,,,
,LOB,F1,3.0,OVERHEAD,SAME,315KILL.WAV,,,
