"Overhead: Groover"
"To improve overhead accuracy and consistency.  Boomer alternates FH to BH and gives a target "cross" or "line". 12 balls total. "
730WAV1.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F1,4.0,OVERHEAD,SAME,,,,
,LOB,B1,4.0,OVERHEAD,SAME,,,,
,LOB,F1,4.0,OVERHEAD,SAME,,,,
,LOB,B1,4.0,OVERHEAD,SAME,,,,
,LOB,F1,4.0,OVERHEAD,SAME,,,,
,LOB,B1,4.0,OVERHEAD,SAME,,,,
,LOB,F1,4.0,OVERHEAD,SAME,,,,
,LOB,B1,4.0,OVERHEAD,SAME,,,,
,LOB,F1,4.0,OVERHEAD,SAME,,,,
,LOB,B1,4.0,OVERHEAD,SAME,,,,
,LOB,F1,4.0,OVERHEAD,SAME,,,,
,LOB,B1,4.0,OVERHEAD,SAME,,,,
