"Groundstroke: Hopman Footwork"
"30 balls varying in spin, direction and depth. Go for the lines.  Balls get tougher as drill progresses. "
095BASE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,R2,3.5,NOT_SCORED,EASY,,,,
,TOPSPIN,INV,3.5,NOT_SCORED,EASY,,,,
,CHIP,R2,3.5,NOT_SCORED,EASY,,,,
,PASS,INV,3.5,NOT_SCORED,EASY,,,,
,PASS,R2,3.4,NOT_SCORED,EASY,,,,
,FLAT,INV,3.4,NOT_SCORED,EASY,,,,
,TOPSPIN,R2,3.4,NOT_SCORED,EASY,,,,
,TOPSPIN,INV,3.4,NOT_SCORED,EASY,,,,
,CHIP,R2,3.4,NOT_SCORED,EASY,,,,
,TOPSPIN,INV,3.4,NOT_SCORED,EASY,,,,
,TOPSPIN,R2,3.4,NOT_SCORED,SAME,,,,
,LOOP,INV,3.4,NOT_SCORED,SAME,,,,
,TOPSPIN,R2,3.3,NOT_SCORED,SAME,,,,
,TOPSPIN,INV,3.3,NOT_SCORED,SAME,,,,
,CHIP,R2,3.3,NOT_SCORED,SAME,,,,
,TOPSPIN,INV,3.3,NOT_SCORED,SAME,,,,
,TOPSPIN,R2,3.3,NOT_SCORED,SAME,,,,
,CHIP,INV,3.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,3.3,NOT_SCORED,SAME,,,,
,TOPSPIN,RANDBH,3.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F1,3.3,NOT_SCORED,HARD,,,,
,LOOP,RANDFH,3.2,NOT_SCORED,HARD,,,,
,TOPSPIN,R3,3.2,NOT_SCORED,HARD,,,,
,TOPSPIN,CENTER,3.2,NOT_SCORED,HARD,,,,
,LOOP,R3,3.2,NOT_SCORED,HARD,,,,
,TOPSPIN,CENTER,3.1,NOT_SCORED,HARD,,,,
,TOPSPIN,R3,3.1,NOT_SCORED,HARD,,,,
,LOOP,INV,3.1,NOT_SCORED,HARD,,,,
,TOPSPIN,B2,3.1,NOT_SCORED,HARD,,,,
,CHIP,F2,1.0,NOT_SCORED,HARD,,,,
