"Net: Hopman Footwork"
"21 random balls varying between passing shots and lobs. Balls get tougher as you go. Try to put each ball away."
730WAV1.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,B2,2.4,VOLLEY,SAME,,,,
,PASS,RANDBH,2.4,VOLLEY,SAME,,,,
,TOPSPIN,F1,2.4,VOLLEY,SAME,,,,
,PASS,RANDFH,2.4,VOLLEY,SAME,,,,
,CUSTOM,B1,2.4,VOLLEY,SAME,,37,26.0,400
,CUSTOM,F2,2.6,OVERHEAD,SAME,158CRUS.WAV,36,45,0
,CUSTOM,B2,2.6,VOLLEY,SAME,,40,18.0,0
,CUSTOM,RANDBH,2.6,VOLLEY,SAME,,38,32.5,0
,CUSTOM,F1,3.1,OVERHEAD,SAME,077ATTA.WAV,36,45,0
,CUSTOM,RANDFH,2.6,VOLLEY,SAME,,38,32.5,0
,CUSTOM,F2,2.6,VOLLEY,SAME,,40,18.0,0
,TOPSPIN,F2,2.4,VOLLEY,SAME,,,,
,PASS,B1,2.4,VOLLEY,SAME,,,,
,PASS,B2,2.3,VOLLEY,EASY,,,,
,TOPSPIN,CENTER,2.3,VOLLEY,SAME,,,,
,PASS,F2,2.3,VOLLEY,SAME,,,,
,TOPSPIN,RANDFH,2.3,VOLLEY,SAME,,,,
,CUSTOM,CENTER,2.3,VOLLEY,SAME,,40,19.5,300
,CUSTOM,B2,2.9,OVERHEAD,SAME,158CRUS.WAV,37,45,300
,CUSTOM,F2,2.3,VOLLEY,SAME,,40,23.0,2200
,PASS,B2,1.0,VOLLEY,SAME,,,,
