"Groundstroke: Heavy Topspin: L4"
"30 random Heavy Topspins at 4.0"

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
,LOOP,RAND,4.0,GROUND,SAME,,,,
