"Topspin Backhand Groove"
"Topspin at level to B4 "
927Ad_groove.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
,TOPSPIN,B4,3.5,GROUND,SAME,,,,
