"Topspin Forehand Groove"
"Topspin at level to F4 "
928Deuce_groove.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
,TOPSPIN,F4,3.5,GROUND,SAME,,,,
