"Hopman Groundstroke Easy:"
"30 balls varying in spin, direction and depth. Go for the lines.  Balls get tougher as drill progresses. "
930Hopman_ground_easy.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,R4,4.5,GROUND,EASY,,,,
,TOPSPIN,INV,4.5,GROUND,EASY,,,,
,CHIP,R4,4.5,GROUND,EASY,,,,
,PASS,INV,4.5,GROUND,EASY,,,,
,PASS,R4,4.4,GROUND,EASY,,,,
,FLAT,INV,4.4,GROUND,EASY,,,,
,TOPSPIN,R4,4.4,GROUND,EASY,,,,
,TOPSPIN,INV,4.4,GROUND,EASY,,,,
,CHIP,R4,4.4,GROUND,EASY,,,,
,TOPSPIN,INV,4.4,GROUND,EASY,,,,
,TOPSPIN,R4,4.4,GROUND,SAME,,,,
,LOOP,INV,4.4,GROUND,SAME,,,,
,TOPSPIN,R4,4.4,GROUND,SAME,,,,
,TOPSPIN,INV,4.4,GROUND,SAME,,,,
,CHIP,R4,4.4,GROUND,SAME,,,,
,TOPSPIN,INV,4.4,GROUND,SAME,,,,
,TOPSPIN,R4,4.4,GROUND,SAME,,,,
,CHIP,INV,4.4,GROUND,SAME,,,,
,TOPSPIN,B4,4.4,GROUND,SAME,,,,
,TOPSPIN,RANDBH,4.4,GROUND,SAME,,,,
,TOPSPIN,F2,4.4,GROUND,HARD,,,,
,LOOP,RANDFH,4.3,GROUND,HARD,,,,
,TOPSPIN,R6,4.3,GROUND,HARD,,,,
,TOPSPIN,CENTER,4.3,GROUND,HARD,,,,
,LOOP,R6,4.3,GROUND,HARD,,,,
,TOPSPIN,CENTER,4.3,GROUND,HARD,,,,
,TOPSPIN,R6,4.3,GROUND,HARD,,,,
,LOOP,INV,4.3,GROUND,HARD,,,,
,TOPSPIN,B4,4.3,GROUND,HARD,,,,
,CHIP,F4,4.3,GROUND,HARD,,,,
