"Net Groover Easy"
"To improve net play.  Boomer throws a passing shot to the FH, then to the BH, then an overhead. This pattern repeats for 15 balls. Boomer gives a target, 'line' or 'cross'."
933Net_groover_easy.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F4,3.4,VOLLEY,SAME,,,,
,PASS,B4,3.4,VOLLEY,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,077ATTA.WAV,,,
,PASS,F4,3.4,VOLLEY,SAME,,,,
,PASS,B4,3.4,VOLLEY,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,158CRUS.WAV,,,
,PASS,F4,3.4,VOLLEY,SAME,,,,
,PASS,B4,3.4,VOLLEY,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,158CRUS.WAV,,,
,PASS,F4,3.4,VOLLEY,SAME,,,,
,PASS,B4,3.4,VOLLEY,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,077ATTA.WAV,,,
,PASS,F4,3.4,VOLLEY,SAME,,,,
,PASS,B4,3.4,VOLLEY,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,315KILL.WAV,,,
