"Topspin BH Groove"
"Topspin at level to B2 "

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,GROUND,SAME,,,,
,TOPSPIN,B4,4.0,OVERHEAD,SAME,,,,
,TOPSPIN,B4,4.0,OVERHEAD,SAME,,,,
,TOPSPIN,B4,4.0,OVERHEAD,SAME,,,,
,TOPSPIN,B4,4.0,OVERHEAD,SAME,,,,
,TOPSPIN,B4,4.0,OVERHEAD,SAME,,,,
