"Hopman Net Medium"
"21 random balls varying between passing shots and lobs. Balls get tougher as you go. Try to put each ball away."
936Hopman_net_medium.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,B4,3.0,VOLLEY,SAME,,,,
,PASS,R4,3.0,VOLLEY,SAME,,,,
,LOB,F2,3.2,VOLLEY,SAME,158CRUS.WAV,,,
,PASS,R4,3.2,VOLLEY,SAME,,,,
,PASS,INV,3.2,VOLLEY,SAME,,,,
,LOB,F4,3.2,OVERHEAD,SAME,158CRUS.WAV,,,
,PASS,B4,3.2,VOLLEY,HARD,,,,
,PASS,R4,3.2,VOLLEY,SAME,,,,
,LOB,F2,3.8,OVERHEAD,SAME,077ATTA.WAV,,,
,PASS,R4,3.2,VOLLEY,HARD,,,,
,PASS,INV,3.2,VOLLEY,EASY,,,,
,PASS,F4,3.0,VOLLEY,SAME,,,,
,PASS,B2,3.0,VOLLEY,HARD,,,,
,PASS,B4,2.9,VOLLEY,EASY,,,,
,PASS,CENTER,2.9,VOLLEY,HARD,,,,
,PASS,F4,2.9,VOLLEY,SAME,,,,
,PASS,R4,2.9,VOLLEY,SAME,,,,
,PASS,CENTER,2.9,VOLLEY,HARD,,,,
,LOB,B4,3.8,OVERHEAD,SAME,158CRUS.WAV,,,
,PASS,R4,3.2,VOLLEY,SAME,,,,
,PASS,INV,3.0,VOLLEY,SAME,,,,
