"College Combine Net Easy"
""
938College_combine_net_easy.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F2,4.3,OVERHEAD,SAME,,,,
,PASS,R4,3.1,VOLLEY,SAME,,,,
,PASS,INV,3.8,VOLLEY,SAME,,,,
,LOB,B2,4.3,OVERHEAD,SAME,,,,
,PASS,R4,3.0,VOLLEY,SAME,,,,
,PASS,INV,3.8,VOLLEY,SAME,,,,
,LOB,F2,4.3,OVERHEAD,SAME,,,,
,PASS,R4,2.9,VOLLEY,SAME,,,,
,PASS,INV,3.8,VOLLEY,SAME,,,,
,LOB,B2,4.5,OVERHEAD,SAME,,,,
,PASS,R4,2.8,VOLLEY,SAME,,,,
,PASS,INV,3.6,VOLLEY,SAME,,,,
,LOB,F2,4.4,OVERHEAD,SAME,,,,
,PASS,R4,2.8,VOLLEY,SAME,,,,
,PASS,INV,3.5,VOLLEY,SAME,,,,
,LOB,B2,4.5,OVERHEAD,SAME,,,,
,PASS,R4,2.8,VOLLEY,SAME,,,,
,PASS,INV,3.3,VOLLEY,SAME,,,,
,LOB,F2,4.6,OVERHEAD,SAME,,,,
,PASS,R4,3.0,VOLLEY,SAME,,,,
,PASS,INV,3.3,VOLLEY,SAME,,,,
,LOB,B2,4.6,OVERHEAD,SAME,,,,
,PASS,R4,2.9,VOLLEY,SAME,,,,
,PASS,INV,3.4,VOLLEY,SAME,,,,
,LOB,F2,4.7,OVERHEAD,SAME,,,,
,PASS,R4,2.8,VOLLEY,SAME,,,,
,PASS,INV,3.4,VOLLEY,SAME,,,,
,LOB,B2,4.7,OVERHEAD,SAME,,,,
,PASS,R4,2.8,VOLLEY,SAME,,,,
,PASS,INV,3.0,VOLLEY,SAME,,,,
