"College Combine Net Medium"
""
939College_combine_net_medium.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F2,3.7,OVERHEAD,SAME,,,,
,PASS,R4,2.5,VOLLEY,SAME,,,,
,PASS,INV,3.2,VOLLEY,SAME,,,,
,LOB,B2,3.7,OVERHEAD,SAME,,,,
,PASS,R4,2.4,VOLLEY,SAME,,,,
,PASS,INV,3.2,VOLLEY,SAME,,,,
,LOB,F2,3.7,OVERHEAD,SAME,,,,
,PASS,R4,2.3,VOLLEY,SAME,,,,
,PASS,INV,3.2,VOLLEY,SAME,,,,
,LOB,B2,3.8,OVERHEAD,SAME,,,,
,PASS,R4,2.2,VOLLEY,SAME,,,,
,PASS,INV,3.0,VOLLEY,SAME,,,,
,LOB,F2,3.8,OVERHEAD,SAME,,,,
,PASS,R4,2.2,VOLLEY,SAME,,,,
,PASS,INV,2.9,VOLLEY,SAME,,,,
,LOB,B2,3.9,OVERHEAD,SAME,,,,
,PASS,R4,2.2,VOLLEY,SAME,,,,
,PASS,INV,2.7,VOLLEY,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,,,,
,PASS,R4,2.4,VOLLEY,SAME,,,,
,PASS,INV,2.7,VOLLEY,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,,,,
,PASS,R4,2.3,VOLLEY,SAME,,,,
,PASS,INV,2.8,VOLLEY,SAME,,,,
,LOB,F2,4.1,OVERHEAD,SAME,,,,
,PASS,R4,2.2,VOLLEY,SAME,,,,
,PASS,INV,2.8,VOLLEY,SAME,,,,
,LOB,B2,4.1,OVERHEAD,SAME,,,,
,PASS,R4,2.2,VOLLEY,SAME,,,,
,PASS,INV,3.0,VOLLEY,SAME,,,,
