"College Combine Net Hard"
""
940College_combine_net_hard.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F2,3.1,OVERHEAD,SAME,,,,
,PASS,R4,1.9,VOLLEY,SAME,,,,
,PASS,INV,32.6,VOLLEY,SAME,,,,
,LOB,B2,3.1,OVERHEAD,SAME,,,,
,PASS,R4,1.8,VOLLEY,SAME,,,,
,PASS,INV,2.6,VOLLEY,SAME,,,,
,LOB,F2,3.1,OVERHEAD,SAME,,,,
,PASS,R4,1.7,VOLLEY,SAME,,,,
,PASS,INV,2.6,VOLLEY,SAME,,,,
,LOB,B2,3.2,OVERHEAD,SAME,,,,
,PASS,R4,1.6,VOLLEY,SAME,,,,
,PASS,INV,2.4,VOLLEY,SAME,,,,
,LOB,F2,3.2,OVERHEAD,SAME,,,,
,PASS,R4,1.6,VOLLEY,SAME,,,,
,PASS,INV,2.3,VOLLEY,SAME,,,,
,LOB,B2,3.3,OVERHEAD,SAME,,,,
,PASS,R4,1.6,VOLLEY,SAME,,,,
,PASS,INV,2.1,VOLLEY,SAME,,,,
,LOB,F2,3.4,OVERHEAD,SAME,,,,
,PASS,R4,1.8,VOLLEY,SAME,,,,
,PASS,INV,2.1,VOLLEY,SAME,,,,
,LOB,B2,3.4,OVERHEAD,SAME,,,,
,PASS,R4,1.7,VOLLEY,SAME,,,,
,PASS,INV,2.2,VOLLEY,SAME,,,,
,LOB,F2,3.5,OVERHEAD,SAME,,,,
,PASS,R4,1.6,VOLLEY,SAME,,,,
,PASS,INV,2.2,VOLLEY,SAME,,,,
,LOB,B2,3.5,OVERHEAD,SAME,,,,
,PASS,R4,1.6,VOLLEY,SAME,,,,
,PASS,INV,3.0,VOLLEY,SAME,,,,
