"1-line 5 ball net"
"Start at service line. Each side gets V, O, V, O, V then circle outside court and get back in line."

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F3,1.0,NOT_SCORED,SAME,,,,
,PASS,B3,1.0,NOT_SCORED,SAME,,,,
,LOB,F3,1.0,NOT_SCORED,EASY,,,,
,LOB,B3,1.0,NOT_SCORED,EASY,,,,
,PASS,F4,1.0,NOT_SCORED,SAME,,,,
,PASS,B4,1.0,NOT_SCORED,SAME,,,,
,LOB,F3,1.0,NOT_SCORED,EASY,,,,
,LOB,B3,1.0,NOT_SCORED,EASY,,,,
,PASS,F5,1.0,NOT_SCORED,SAME,,,,
,PASS,B5,1.0,NOT_SCORED,SAME,269HERE.WAV,,,
