"Volley Groover Easy"
"To improve volley accuracy and consistency. Boomer throws 2 balls to the deuce court, then 2 to the ad court. Repeat for 24 balls."
943Volley_groover_easy.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F4,2.9,GROUND,SAME,,,,
,PASS,F4,3.4,GROUND,SAME,,,,
,PASS,B4,2.9,GROUND,SAME,,,,
,PASS,B4,3.4,GROUND,SAME,,,,
,PASS,F4,2.9,GROUND,SAME,,,,
,PASS,F4,3.4,GROUND,SAME,,,,
,PASS,B4,2.9,GROUND,SAME,,,,
,PASS,B4,3.4,GROUND,SAME,,,,
,PASS,F4,2.9,GROUND,SAME,,,,
,PASS,F4,3.4,GROUND,SAME,,,,
,PASS,B4,2.9,GROUND,SAME,,,,
,PASS,B4,3.4,GROUND,SAME,,,,
,PASS,F4,2.9,GROUND,SAME,,,,
,PASS,F4,3.4,GROUND,SAME,,,,
,PASS,B4,2.9,GROUND,SAME,,,,
,PASS,B4,3.4,GROUND,SAME,,,,
,PASS,F4,2.9,GROUND,SAME,,,,
,PASS,F4,3.4,GROUND,SAME,,,,
,PASS,B4,2.9,GROUND,SAME,,,,
,PASS,B4,3.4,GROUND,SAME,,,,
,PASS,F4,2.9,GROUND,SAME,,,,
,PASS,F4,3.4,GROUND,SAME,,,,
,PASS,B4,2.9,GROUND,SAME,,,,
,PASS,B4,3.4,GROUND,SAME,,,,
