"Volley Groover Hard"
"To improve volley accuracy and consistency. 1st 20 balls Boomer throws a pattern of 2 FH 2 BH. Pattern repeats for 24 balls."
944Volley_groover_hard.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F4,2.1,GROUND,SAME,,,,
,PASS,F4,2.6,GROUND,SAME,,,,
,PASS,B4,2.1,GROUND,SAME,,,,
,PASS,B4,2.6,GROUND,SAME,,,,
,PASS,F4,2.1,GROUND,SAME,,,,
,PASS,F4,2.6,GROUND,SAME,,,,
,PASS,B4,2.1,GROUND,SAME,,,,
,PASS,B4,2.6,GROUND,SAME,,,,
,PASS,F4,2.1,GROUND,SAME,,,,
,PASS,F4,2.6,GROUND,SAME,,,,
,PASS,B4,2.1,GROUND,SAME,,,,
,PASS,B4,2.6,GROUND,SAME,,,,
,PASS,F4,2.1,GROUND,SAME,,,,
,PASS,F4,2.6,GROUND,SAME,,,,
,PASS,B4,2.1,GROUND,SAME,,,,
,PASS,B4,2.6,GROUND,SAME,,,,
,PASS,F4,2.1,GROUND,SAME,,,,
,PASS,F4,2.6,GROUND,SAME,,,,
,PASS,B4,2.1,GROUND,SAME,,,,
,PASS,B4,2.6,GROUND,SAME,,,,
,PASS,F4,2.6,GROUND,SAME,,,,
,PASS,F4,2.6,GROUND,SAME,,,,
,PASS,B4,2.6,GROUND,SAME,,,,
,PASS,B4,2.6,GROUND,SAME,,,,
