"1-line 6 BH across"
"Line up in deuce alley. Hit 1st 3 inside out, last 3 cross court.  Next player starts after player before hits 4 balls. "

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F5,2.6,NOT_SCORED,SAME,483PLAY.WAV,,,
,TOPSPIN,F3,2.6,NOT_SCORED,SAME,,,,
,TOPSPIN,F1,2.6,NOT_SCORED,SAME,,,,
,TOPSPIN,B1,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.3,NOT_SCORED,SAME,486PLAY.WAV,,,
,TOPSPIN,B3,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F3,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F1,1.3,NOT_SCORED,SAME,483PLAY.WAV,,,
,TOPSPIN,F5,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B1,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F3,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B3,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F1,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B1,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.3,NOT_SCORED,SAME,486PLAY.WAV,,,
,TOPSPIN,B3,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F3,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F1,1.0,NOT_SCORED,SAME,,,,
