"Overhead: Groover"
"To improve overhead accuracy and consistency.  Boomer alternates FH to BH. 12 balls total. "
948Overhead_groover.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F2,4.0,OVERHEAD,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,,,,
,LOB,F2,4.0,OVERHEAD,SAME,,,,
,LOB,B2,4.0,OVERHEAD,SAME,,,,
