"Easy Mini Tennis"
"Start at service line.  Very easy balls. 5 forehand and 5 backhands"
956Easy_mini.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,F3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,F3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,F3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,F3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,B3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,B3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,B3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,B3,3.5,GROUND,SAME,,28,40,-1800
,CUSTOM,B3,3.5,GROUND,SAME,,28,40,-1800
