"Hard Mini Tennis"
"Start at service line.  Medium balls. Alternating forehand and backhand"
957Hard_mini.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,B4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,F4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,B4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,F4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,B4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,F4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,B4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,F4,2.8,GROUND,SAME,,29,34,-1800
,CUSTOM,B4,2.8,GROUND,SAME,,29,34,-1800
