"Mini Tennis Volley"
"Start at service line.  Medium balls. Alternating forehand and backhand"
958Mini_volley.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,B4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,F4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,B4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,F4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,B4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,F4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,B4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,F4,2.8,GROUND,SAME,,33,34,0
,CUSTOM,B4,2.8,GROUND,SAME,,33,34,0
