"Mini Tennis Overhead"
"Start close to the net. Try to smash each ball out of the air."
959Mini_over.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
