"Mini Tennis Net"
"Start close to the net. Try to take each ball out of the air."
960Mini_net.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,F3,2.8,VOLLEY,SAME,,33,34,0
,CUSTOM,B3,2.8,VOLLEY,SAME,,33,34,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,B3,2.8,VOLLEY,SAME,,33,34,0
,CUSTOM,F3,2.8,VOLLEY,SAME,,33,34,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
,CUSTOM,F3,2.8,VOLLEY,SAME,,33,34,0
,CUSTOM,B3,2.8,VOLLEY,SAME,,33,34,0
,CUSTOM,CENTER,2.8,OVERHEAD,SAME,,32,44,0
