"2-line Groundstroke: 6 balls"
""
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F5,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B1,1.3,NOT_SCORED,SAME,,,,
,CHIP,F1,1.3,NOT_SCORED,SAME,,,,
,CHIP,B5,1.6,NOT_SCORED,SAME,,,,
,TOPSPIN,RANDFH,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,RANDBH,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,F1,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.4,NOT_SCORED,SAME,,,,
,CHIP,F5,1.3,NOT_SCORED,SAME,,,,
,CHIP,B1,1.6,NOT_SCORED,SAME,,,,
,TOPSPIN,RANDFH,1.3,NOT_SCORED,SAME,,,,
,TOPSPIN,RANDBH,1.0,NOT_SCORED,SAME,,,,
