"2-line Approach"
"no level adjustment"
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F2,1.3,NOT_SCORED,SAME,074APPR.WAV,38,22.5,0
,CUSTOM,B4,1.6,NOT_SCORED,SAME,,38,22.5,0
,CUSTOM,F5,1.4,NOT_SCORED,SAME,696VOLL.WAV,44,17.5,0
,CUSTOM,B2,1.3,NOT_SCORED,SAME,,44,17.5,0
,CUSTOM,F2,1.4,NOT_SCORED,SAME,696VOLL.WAV,48,10.0,0
,CUSTOM,B5,1.6,NOT_SCORED,SAME,,48,10.0,0
,CUSTOM,F5,1.4,NOT_SCORED,SAME,696VOLL.WAV,40,25.0,0
,CUSTOM,B2,1.3,NOT_SCORED,SAME,,40,25.0,0
,CUSTOM,F2,1.4,NOT_SCORED,SAME,457OVER.WAV,37,30.0,0
,CUSTOM,B3,1.6,NOT_SCORED,SAME,,37,30.0,0
,CUSTOM,F3,1.4,NOT_SCORED,SAME,457OVER.WAV,36,40.0,0
,CUSTOM,B2,1.0,NOT_SCORED,SAME,,36,40.0,0
