"2-line Net: 8 balls"
""
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F5,1.1,NOT_SCORED,SAME,,,,
,PASS,B1,1.0,NOT_SCORED,SAME,,,,
,PASS,F1,1.2,NOT_SCORED,SAME,,,,
,PASS,B5,1.3,NOT_SCORED,SAME,,,,
,PASS,RANDFH,1.1,NOT_SCORED,SAME,,,,
,PASS,RANDBH,1.1,NOT_SCORED,SAME,,,,
,PASS,F1,1.2,NOT_SCORED,SAME,,,,
,PASS,B5,1.4,NOT_SCORED,SAME,,,,
,PASS,F5,1.3,NOT_SCORED,SAME,,,,
,PASS,RANDBH,1.2,NOT_SCORED,SAME,,,,
,PASS,RANDFH,1.3,NOT_SCORED,SAME,,,,
,PASS,B5,1.4,NOT_SCORED,SAME,,,,
,PASS,F5,1.1,NOT_SCORED,SAME,,,,
,PASS,B1,1.0,NOT_SCORED,SAME,,,,
,PASS,F1,1.2,NOT_SCORED,SAME,,,,
,PASS,B5,1.0,NOT_SCORED,SAME,,,,
