"2-line Overhead: 6 balls each"
""
749WHOM.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F5,2.0,NOT_SCORED,SAME,,,,
,LOB,B3,2.0,NOT_SCORED,SAME,,,,
,LOB,F3,2.0,NOT_SCORED,SAME,,,,
,LOB,B5,2.0,NOT_SCORED,SAME,,,,
,LOB,F5,2.0,NOT_SCORED,HARD,,,,
,LOB,B3,2.0,NOT_SCORED,HARD,,,,
,LOB,F3,2.0,NOT_SCORED,SAME,,,,
,LOB,B5,2.0,NOT_SCORED,SAME,,,,
,LOB,F5,2.0,NOT_SCORED,SAME,,,,
,LOB,B3,2.0,NOT_SCORED,SAME,,,,
,LOB,F3,2.0,NOT_SCORED,HARD,,,,
,LOB,B5,2.0,NOT_SCORED,HARD,,,,
