"2-line Kid & Adult"
"Kids get F3 2.5 level Flat groundstrokes; Adults get B3 3.5 level Flat groundstrokes"

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F3,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
,FLAT,F4,2.0,NOT_SCORED,2.5,,,,
,FLAT,B2,2.0,NOT_SCORED,3.5,,,,
