"2-line X: 30 balls"
""
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F13,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F13,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,F2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B13,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F2,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,B13,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,F13,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F13,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,F2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B13,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F2,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,B13,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,F13,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F13,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,F2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B13,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F2,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,B13,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,F13,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F13,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,EASY,,,,
,TOPSPIN,F2,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,B13,1.4,NOT_SCORED,HARD,,,,
