"1-line 5 ball net, Each player goes right/left, not scored"
"Start at service line. Each side gets V, O, V, O, V then circle outside court and get back in line."
013Please_start_at_baseline.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F6,1.0,NOT_SCORED,SAME,,,,
,PASS,B6,1.0,NOT_SCORED,SAME,,,,
,LOB,F6,1.0,NOT_SCORED,EASY,,,,
,LOB,B6,1.0,NOT_SCORED,EASY,,,,
,PASS,F8,1.0,NOT_SCORED,SAME,,,,
,PASS,B8,1.0,NOT_SCORED,SAME,,,,
,LOB,F6,1.0,NOT_SCORED,EASY,,,,
,LOB,B6,1.0,NOT_SCORED,EASY,,,,
,PASS,F13,1.0,NOT_SCORED,SAME,,,,
,PASS,B13,1.0,NOT_SCORED,SAME,269HERE.WAV,,,
