"2-line Groundstroke: Medium"
"6 balls"
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,B3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,F3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,B3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,F3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,B3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,F3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,B3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,F3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,B3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,F3,1.6,NOT_SCORED,SAME,,44,17.0,2000
,CUSTOM,B3,5.0,NOT_SCORED,SAME,,44,17.0,2000
