"1-line 5 deep volleys, not scored"
"Start at baseline.  Take all balls out of the air.  Boomer alternates left and right.  Volleys get shorter and easier. After last volley circle outside court and get back in line. "
013Please_start_at_baseline.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F8,1.2,NOT_SCORED,SAME,,40,27.5,0
,CUSTOM,B8,1.2,NOT_SCORED,SAME,,40,27.5,0
,CUSTOM,F4,1.2,NOT_SCORED,SAME,,40,25.0,0
,CUSTOM,B4,1.2,NOT_SCORED,SAME,,40,25.0,0
,CUSTOM,F8,1.2,NOT_SCORED,SAME,,38,25.0,0
,CUSTOM,B8,1.2,NOT_SCORED,SAME,,38,25.0,0
,CUSTOM,F4,1.2,NOT_SCORED,SAME,,38,25.0,0
,CUSTOM,B4,1.0,NOT_SCORED,SAME,,38,25.0,0
,CUSTOM,F8,1.0,NOT_SCORED,SAME,,36,27.0,0
,CUSTOM,B8,1.0,NOT_SCORED,SAME,269HERE.WAV,36,27.0,0
