"2-line Random aka High School"
"Both lines get a feed, feed ends with drop shot"
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F13,1.1,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.4,NOT_SCORED,SAME,,,,
,PASS,F2,1.2,NOT_SCORED,SAME,,,,
,PASS,B13,1.5,NOT_SCORED,SAME,,,,
,PASS,RANDFH,1.2,NOT_SCORED,HARD,,,,
,PASS,RANDBH,1.4,NOT_SCORED,HARD,,,,
,TOPSPIN,F2,1.2,NOT_SCORED,HARD,,,,
,TOPSPIN,B13,2.0,NOT_SCORED,HARD,,,,
,TOPSPIN,F13,1.9,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.8,NOT_SCORED,SAME,,,,
,CHIP,RANDFH,1.1,NOT_SCORED,SAME,,,,
,CHIP,RANDBH,1.8,NOT_SCORED,SAME,,,,
,CHIP,F13,1.8,NOT_SCORED,HARD,,,,
,CHIP,B2,1.8,NOT_SCORED,HARD,,,,
,LOOP,F2,1.2,NOT_SCORED,HARD,,,,
,LOOP,B13,1.8,NOT_SCORED,HARD,,,,
,DROP,F13,1.4,NOT_SCORED,SAME,,,,
,DROP,B13,1.0,NOT_SCORED,SAME,,,,
