"2-line Overhead: 6 balls each"
""

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F13,2.0,NOT_SCORED,SAME,,,,
,LOB,B6,2.0,NOT_SCORED,SAME,,,,
,LOB,F6,2.0,NOT_SCORED,SAME,,,,
,LOB,B13,2.0,NOT_SCORED,SAME,,,,
,LOB,F13,2.0,NOT_SCORED,HARD,,,,
,LOB,B6,2.0,NOT_SCORED,HARD,,,,
,LOB,F6,2.0,NOT_SCORED,SAME,,,,
,LOB,B13,2.0,NOT_SCORED,SAME,,,,
,LOB,F13,2.0,NOT_SCORED,SAME,,,,
,LOB,B6,2.0,NOT_SCORED,SAME,,,,
,LOB,F6,2.0,NOT_SCORED,HARD,,,,
,LOB,B13,2.0,NOT_SCORED,HARD,,,,
