"3-line Groundstroke"
"Start at baseline:  deuce alley, center, ad alley.  Each player gets 4 balls: topspin, slice, loop and flat. "
316KPDE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F13,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,CENTER,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B13,1.0,NOT_SCORED,SAME,,,,
,CHIP,F13,1.0,NOT_SCORED,SAME,,,,
,CHIP,CENTER,1.0,NOT_SCORED,SAME,,,,
,CHIP,B13,1.0,NOT_SCORED,SAME,,,,
,LOOP,F13,1.0,NOT_SCORED,SAME,,,,
,LOOP,CENTER,1.0,NOT_SCORED,SAME,,,,
,LOOP,B13,1.0,NOT_SCORED,SAME,,,,
,FLAT,F13,1.0,NOT_SCORED,SAME,,,,
,FLAT,CENTER,1.0,NOT_SCORED,SAME,,,,
,FLAT,B13,1.0,NOT_SCORED,SAME,,,,
