"3-line Overhead Frenzy"
"All lines on service line: center and alleys.  Each line hits 4 overheads that alternate between short and deep. "

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOB,F5,1.0,NOT_SCORED,EASY,,,,
,LOB,CENTER,1.0,NOT_SCORED,EASY,,,,
,LOB,B5,1.0,NOT_SCORED,EASY,,,,
,LOB,F5,1.0,NOT_SCORED,HARD,,,,
,LOB,CENTER,1.0,NOT_SCORED,HARD,,,,
,LOB,B5,1.0,NOT_SCORED,HARD,,,,
,LOB,F5,1.0,NOT_SCORED,EASY,,,,
,LOB,CENTER,1.0,NOT_SCORED,EASY,,,,
,LOB,B5,1.0,NOT_SCORED,EASY,,,,
,LOB,F5,1.0,NOT_SCORED,HARD,,,,
,LOB,CENTER,1.0,NOT_SCORED,HARD,,,,
,LOB,B5,1.0,NOT_SCORED,HARD,,,,
