"2-line fat sitter 6 balls"
""
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,B6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,F6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,B6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,F6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,B6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,F6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,B6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,F6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,B6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,F6,1.6,NOT_SCORED,SAME,,36,25.0,2000
,CUSTOM,B6,5.0,NOT_SCORED,SAME,,36,25.0,2000
