"4-line Warmup"
""
310JUST.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F5,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,F2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B2,1.0,NOT_SCORED,SAME,,,,
,TOPSPIN,B5,1.0,NOT_SCORED,SAME,,,,
