"2-line Mini-tennis: Overheads"
"Start at service line. Each line hits 6 overheads. "
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,B13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,B13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,B13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,B13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,B13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,B13,1.5,NOT_SCORED,2,,29,44,0
,CUSTOM,F13,1.0,NOT_SCORED,2,,29,44,0
