"2-line Mini-tennis: O & V"
"Start at service line. Each line hits 3 overhead and volleys, alternating."
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,B13,1.0,NOT_SCORED,2,,29,45,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,45,0
,CUSTOM,B13,1.0,NOT_SCORED,2,,29,30.0,0
,CUSTOM,F13,1.0,NOT_SCORED,2,,29,30.0,0
,CUSTOM,B13,1.0,NOT_SCORED,2,,29,45,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,45,0
,CUSTOM,B13,1.0,NOT_SCORED,2,,29,30.0,0
,CUSTOM,F13,1.0,NOT_SCORED,2,,29,30.0,0
,CUSTOM,B13,1.0,NOT_SCORED,2,,29,45,0
,CUSTOM,F13,1.5,NOT_SCORED,2,,29,45,0
,CUSTOM,B13,1.0,NOT_SCORED,2,,29,30.0,0
,CUSTOM,F13,1.0,NOT_SCORED,2,,29,30.0,0
