"2-line Mini-tennis: Harder"
"Start at service line. 1 line inside service line in ad court, 1 line inside service line in deuce court. Each line hits 6 balls, then circles outside court and gets in line."
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,B4,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,B4,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,B4,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,B4,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,B4,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,B4,1.0,NOT_SCORED,SAME,,25,40.0,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,40.0,0
