"3-line Mini-tennis"
""
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,25,22.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,25,22.5,0
