"Volley warmup PASSING: 3 line"
""
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F10,1.4,NOT_SCORED,SAME,,,,
,PASS,CENTER,1.4,NOT_SCORED,SAME,,,,
,PASS,B10,1.4,NOT_SCORED,SAME,,,,
,PASS,F10,1.4,NOT_SCORED,SAME,,,,
,PASS,CENTER,1.4,NOT_SCORED,SAME,,,,
,PASS,B10,1.4,NOT_SCORED,SAME,,,,
,PASS,F10,1.4,NOT_SCORED,SAME,,,,
,PASS,CENTER,1.4,NOT_SCORED,SAME,,,,
,PASS,B10,1.4,NOT_SCORED,SAME,,,,
,PASS,F10,1.4,NOT_SCORED,SAME,,,,
,PASS,CENTER,1.4,NOT_SCORED,SAME,,,,
,PASS,B10,1.4,NOT_SCORED,SAME,,,,
