"Volley warmup FLAT: 3 line"
""
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,FLAT,F10,1.4,NOT_SCORED,SAME,,,,
,FLAT,CENTER,1.4,NOT_SCORED,SAME,,,,
,FLAT,B10,1.4,NOT_SCORED,SAME,,,,
,FLAT,F10,1.4,NOT_SCORED,SAME,,,,
,FLAT,CENTER,1.4,NOT_SCORED,SAME,,,,
,FLAT,B10,1.4,NOT_SCORED,SAME,,,,
,FLAT,F10,1.4,NOT_SCORED,SAME,,,,
,FLAT,CENTER,1.4,NOT_SCORED,SAME,,,,
,FLAT,B10,1.4,NOT_SCORED,SAME,,,,
,FLAT,F10,1.4,NOT_SCORED,SAME,,,,
,FLAT,CENTER,1.4,NOT_SCORED,SAME,,,,
,FLAT,B10,1.4,NOT_SCORED,SAME,,,,
