"Volley warmup TOPSPIN: 3 line"
""
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F10,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,CENTER,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,B10,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,F10,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,CENTER,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,B10,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,F10,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,CENTER,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,B10,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,F10,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,CENTER,1.4,NOT_SCORED,SAME,,,,
,TOPSPIN,B10,1.4,NOT_SCORED,SAME,,,,
