"Sacrifice 10 strokes:"
"This drills works on your all-court game. Try to hit 5 in a row out of the 10 strokes"
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,LOOP,CENTER,1.4,GROUND,SAME,,,,
,TOPSPIN,CENTER,1.4,GROUND,SAME,,,,
,TOPSPIN,F2,1.4,VOLLEY,SAME,,,,
,TOPSPIN,B2,1.4,VOLLEY,SAME,,,,
,PASS,B8,2.0,GROUND,SAME,,,,
,PASS,F8,1.4,GROUND,SAME,,,,
,TOPSPIN,CENTER,1.4,GROUND,SAME,,,,
,PASS,F2,1.4,VOLLEY,SAME,,,,
,LOB,CENTER,3.2,OVERHEAD,3.5,,,,
,LOB,F8,3.0,OVERHEAD,6.0,,,,
