"Volley warmup CHIP: 4 line"
""
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CHIP,F13,1.4,NOT_SCORED,SAME,,,,
,CHIP,F4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B13,1.4,NOT_SCORED,SAME,,,,
,CHIP,F13,1.4,NOT_SCORED,SAME,,,,
,CHIP,F4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B13,1.4,NOT_SCORED,SAME,,,,
,CHIP,F13,1.4,NOT_SCORED,SAME,,,,
,CHIP,F4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B13,1.4,NOT_SCORED,SAME,,,,
,CHIP,F13,1.4,NOT_SCORED,SAME,,,,
,CHIP,F4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B4,1.4,NOT_SCORED,SAME,,,,
,CHIP,B13,1.4,NOT_SCORED,SAME,,,,



