!calibration: SERVE 
All balls to CENTER speed=40 SPIN=1333 elev=18 to 28
163CWHL.WAV
,SHOT_TYPE,ROTARY_TYPE,SCORE,DELAY,SPEED,SPIN,ELEVATION
,CUSTOM,CENTER,VOLLEY,4,40,1333,18
,CUSTOM,CENTER,VOLLEY,4,40,1333,19
,CUSTOM,CENTER,VOLLEY,4,40,1333,20
,CUSTOM,CENTER,VOLLEY,4,40,1333,21
,CUSTOM,CENTER,VOLLEY,4,40,1333,22
,CUSTOM,CENTER,VOLLEY,4,40,1333,23
,CUSTOM,CENTER,VOLLEY,4,40,1333,24
,CUSTOM,CENTER,VOLLEY,4,40,1333,25
,CUSTOM,CENTER,VOLLEY,4,40,1333,26
,CUSTOM,CENTER,VOLLEY,4,40,1333,27
,CUSTOM,CENTER,VOLLEY,4,40,1333,28
