!calibration: FLAT 
9 balls are thrown at 52mph to CENTER with varying elev angles, SPIN= 1333
163CWHL.WAV
,SHOT_TYPE,ROTARY_TYPE,SCORE,DELAY,SPEED,SPIN,ELEVATION
,CUSTOM,CENTER,VOLLEY,4,52,1333,11
,CUSTOM,CENTER,VOLLEY,4,52,1333,12
,CUSTOM,CENTER,VOLLEY,4,52,1333,13
,CUSTOM,CENTER,VOLLEY,4,52,1333,14
,CUSTOM,CENTER,VOLLEY,4,52,1333,15
,CUSTOM,CENTER,VOLLEY,4,52,1333,16
,CUSTOM,CENTER,VOLLEY,4,52,1333,17
,CUSTOM,CENTER,VOLLEY,4,52,1333,18
,CUSTOM,CENTER,VOLLEY,4,52,1333,19
,CUSTOM,CENTER,VOLLEY,4,52,1333,20
