!calibration: CHIP 
17 balls are thrown to CENTER, speed=44, spin= -2000 with varying elev angles around 17 degrees
intro_audio
,SHOT_TYPE,ROTARY_TYPE,DELAY,SPEED,SPIN,ELEVATION
,CUSTOM,CENTER,3,44,-2000,20.00
,CUSTOM,CENTER,3,44,-2000,19.75
,CUSTOM,CENTER,3,44,-2000,19.50
,CUSTOM,CENTER,3,44,-2000,19.25
,CUSTOM,CENTER,3,44,-2000,19.00
,CUSTOM,CENTER,3,44,-2000,18.75
,CUSTOM,CENTER,3,44,-2000,18.50
,CUSTOM,CENTER,3,44,-2000,18.25
,CUSTOM,CENTER,3,44,-2000,18.00
,CUSTOM,CENTER,3,44,-2000,17.75
,CUSTOM,CENTER,3,44,-2000,17.50
,CUSTOM,CENTER,3,44,-2000,17.25
,CUSTOM,CENTER,3,44,-2000,17.00
,CUSTOM,CENTER,3,44,-2000,16.75
,CUSTOM,CENTER,3,44,-2000,16.50
,CUSTOM,CENTER,3,44,-2000,16.25
,CUSTOM,CENTER,3,44,-2000,16.00
