!calibration: TOPSPIN 
17 balls are thrown to CENTER, speed=54, spin= 1666 with varying elev angles around 14 degrees
intro_audio
,SHOT_TYPE,ROTARY_TYPE,DELAY,SPEED,SPIN,ELEVATION
,CUSTOM,CENTER,3,54,1666,19.00
,CUSTOM,CENTER,3,54,1666,18.75
,CUSTOM,CENTER,3,54,1666,18.50
,CUSTOM,CENTER,3,54,1666,18.25
,CUSTOM,CENTER,3,54,1666,18.00
,CUSTOM,CENTER,3,54,1666,17.75
,CUSTOM,CENTER,3,54,1666,17.50
,CUSTOM,CENTER,3,54,1666,17.25
,CUSTOM,CENTER,3,54,1666,17.00
,CUSTOM,CENTER,3,54,1666,16.75
,CUSTOM,CENTER,3,54,1666,16.50
,CUSTOM,CENTER,3,54,1666,16.25
,CUSTOM,CENTER,3,54,1666,16.00
,CUSTOM,CENTER,3,54,1666,15.75
,CUSTOM,CENTER,3,54,1666,15.50
,CUSTOM,CENTER,3,54,1666,15.25
,CUSTOM,CENTER,3,54,1666,15.00
