!calibration: PASS 
17 balls are thrown to CENTER, speed=54, spin= 1666 with varying elev angles around 12 degrees
intro_audio
,SHOT_TYPE,ROTARY_TYPE,DELAY,SPEED,SPIN,ELEVATION
,CUSTOM,CENTER,3,54,1666,15.00
,CUSTOM,CENTER,3,54,1666,14.75
,CUSTOM,CENTER,3,54,1666,14.50
,CUSTOM,CENTER,3,54,1666,14.25
,CUSTOM,CENTER,3,54,1666,14.00
,CUSTOM,CENTER,3,54,1666,13.75
,CUSTOM,CENTER,3,54,1666,13.50
,CUSTOM,CENTER,3,54,1666,13.25
,CUSTOM,CENTER,3,54,1666,13.00
,CUSTOM,CENTER,3,54,1666,12.75
,CUSTOM,CENTER,3,54,1666,12.50
,CUSTOM,CENTER,3,54,1666,12.25
,CUSTOM,CENTER,3,54,1666,12.00
,CUSTOM,CENTER,3,54,1666,11.75
,CUSTOM,CENTER,3,54,1666,11.50
,CUSTOM,CENTER,3,54,1666,11.25
,CUSTOM,CENTER,3,54,1666,11.00
