"Test servoing"
""

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,10,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,9,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,5,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,35,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,5,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,25,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,5,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,15,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,5,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,10,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,5,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,45,0,
,CUSTOM,F2,3.0,NOT_SCORED,SAME,,30,20,0,
