"2-line Net: 10 balls"
""
""
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,F10,1.0,NOT_SCORED,SAME,483PLAY.WAV,,,
,PASS,B10,1.0,NOT_SCORED,SAME,486PLAY.WAV,,,
,PASS,F3,1.0,NOT_SCORED,SAME,883This_allows_the_pro.WAV,,,
,PASS,B3,1.0,NOT_SCORED,SAME,,,,
,PASS,F10,1.0,NOT_SCORED,SAME,884It_also_allows_pro_to_join.WAV,,,
,PASS,B10,1.0,NOT_SCORED,SAME,,,,
,PASS,F3,1.0,NOT_SCORED,SAME,895I_can_ask_players_to_pickup_balls.WAV,,,
,PASS,B3,1.0,NOT_SCORED,SAME,896This_drill_can_run_continuously.WAV,,,
,PASS,F10,1.0,NOT_SCORED,SAME,,,,
,PASS,B10,1.0,NOT_SCORED,SAME,897Very_efficient.WAV,,,
