"Boomer demo"
"Shows all Boomer features" 
898Boomer_short_intro_one.WAV
,DRILL,MINUTES,PRE_COMMENT
,835,0,899Boomer_short_intro_two.WAV
,837,0,
,838,0,
,839,0,
,840,0,
,841,0,
,842,0,
,0,0,912I_know_it_is_intimidating.WAV
,821,0,838Easy_ground_short_intro.WAV
,0,0,878I_have_eleven_levels.WAV
,822,0,843Hard_ground_short_intro.WAV
,0,0,880The_rest_of_drills_will_be_at_level.WAV
,829,0,819Random_volley.WAV
,831,0,821Random_overhead.WAV
,823,0,845Net_intro.WAV
,0,0,894Transition_drill_short_intro.WAV
,825,0,
,833,0,823Two_line_volley_intro.WAV
,907,0,809Beep_intro.WAV
,0,0,810Play_game_intro.WAV
